"Sl. No.","District","Year","Precipitation","Predicted"
12,"Jagatsinghpur",2016,198.2,229.129655172415
12,"Jagatsinghpur",2017,458.4,227.749162561578
12,"Jagatsinghpur",2018,285.1,226.368669950741
12,"Jagatsinghpur",2019,319.9,224.988177339903
12,"Jagatsinghpur",2020,288.4,223.607684729066
12,"Jagatsinghpur",2021,232.4,222.227192118229
12,"Jagatsinghpur",2022,222.1,220.846699507392
12,"Jagatsinghpur",2023,112.7,219.466206896554
13,"Jajpur",1995,480.6,220.651034482757
13,"Jajpur",1996,95.8,219.000098522166
13,"Jajpur",1997,44.5,217.349162561575
13,"Jajpur",1998,223.6,215.698226600984
13,"Jajpur",1999,577,214.047290640393
13,"Jajpur",2000,22.6,212.396354679802
13,"Jajpur",2001,158.4,210.745418719211
13,"Jajpur",2002,55.8,209.09448275862
13,"Jajpur",2003,470.6,207.443546798029
13,"Jajpur",2004,252.2,205.792610837438
13,"Jajpur",2005,248.4,204.141674876847
13,"Jajpur",2006,34.5,202.490738916256
13,"Jajpur",2007,44.1,200.839802955665
13,"Jajpur",2008,13.2,199.188866995074
13,"Jajpur",2009,130.3,197.537931034483
13,"Jajpur",2010,248.9,195.886995073892
13,"Jajpur",2011,29.8,194.236059113301
13,"Jajpur",2012,158.8,192.58512315271
13,"Jajpur",2013,677.1,190.934187192119
13,"Jajpur",2014,142.8,189.283251231528
13,"Jajpur",2015,30.3,187.632315270937
13,"Jajpur",2016,110.9,185.981379310346
13,"Jajpur",2017,324.4,184.330443349755
13,"Jajpur",2018,239.1,182.679507389164
13,"Jajpur",2019,267.5,181.028571428573
13,"Jajpur",2020,215.1,179.377635467982
13,"Jajpur",2021,161.6,177.726699507391
13,"Jajpur",2022,152.3,176.0757635468
13,"Jajpur",2023,118.4,174.424827586209
14,"Jharsuguda",1995,143.5,68.1324137931027
14,"Jharsuguda",1996,39,68.360640394088
14,"Jharsuguda",1997,45.6,68.5888669950733
14,"Jharsuguda",1998,122.5,68.8170935960585
14,"Jharsuguda",1999,19.2,69.0453201970438
14,"Jharsuguda",2000,7.2,69.273546798029
14,"Jharsuguda",2001,52.6,69.5017733990143
14,"Jharsuguda",2002,53.6,69.7299999999996
14,"Jharsuguda",2003,194,69.9582266009849
14,"Jharsuguda",2004,97,70.1864532019701
14,"Jharsuguda",2005,105.4,70.4146798029554
14,"Jharsuguda",2006,27.4,70.6429064039406
14,"Jharsuguda",2007,46.6,70.8711330049259
14,"Jharsuguda",2008,3.6,71.0993596059112
14,"Jharsuguda",2009,129.4,71.3275862068965
14,"Jharsuguda",2010,21.6,71.5558128078817
14,"Jharsuguda",2011,0,71.784039408867
14,"Jharsuguda",2012,98.8,72.0122660098523
14,"Jharsuguda",2013,201.7,72.2404926108375
14,"Jharsuguda",2014,40.7,72.4687192118228
14,"Jharsuguda",2015,7,72.6969458128081
14,"Jharsuguda",2016,43.9,72.9251724137933
14,"Jharsuguda",2017,97.1,73.1533990147786
14,"Jharsuguda",2018,6.6,73.3816256157639
14,"Jharsuguda",2019,123.1,73.6098522167491
14,"Jharsuguda",2020,54.5,73.8380788177344
14,"Jharsuguda",2021,49.9,74.0663054187197
14,"Jharsuguda",2022,84.7,74.2945320197049
14,"Jharsuguda",2023,152.3,74.5227586206902
15,"Kalahandi",1995,143.4,65.3717241379304
15,"Kalahandi",1996,26.9,66.0124137931027
15,"Kalahandi",1997,52.1,66.6531034482753
15,"Kalahandi",1998,136.1,67.2937931034478
15,"Kalahandi",1999,50.2,67.9344827586201
15,"Kalahandi",2000,5.2,68.5751724137926
15,"Kalahandi",2001,37,69.2158620689652
15,"Kalahandi",2002,12.9,69.8565517241377
15,"Kalahandi",2003,128.6,70.49724137931
15,"Kalahandi",2004,134.9,71.1379310344826
15,"Kalahandi",2005,50.2,71.7786206896551
15,"Kalahandi",2006,17.5,72.4193103448274
15,"Kalahandi",2007,42.8,73.0599999999999
15,"Kalahandi",2008,14.9,73.7006896551725
15,"Kalahandi",2009,62.3,74.3413793103448
15,"Kalahandi",2010,180.7,74.9820689655173
15,"Kalahandi",2011,5.2,75.6227586206899
15,"Kalahandi",2012,53.3,76.2634482758622
15,"Kalahandi",2013,248.1,76.9041379310347
15,"Kalahandi",2014,59.8,77.5448275862072
15,"Kalahandi",2015,4.1,78.1855172413796
15,"Kalahandi",2016,119.7,78.8262068965521
15,"Kalahandi",2017,117.9,79.4668965517246
15,"Kalahandi",2018,59.9,80.1075862068969
15,"Kalahandi",2019,96.5,80.7482758620695
15,"Kalahandi",2020,130.2,81.388965517242
15,"Kalahandi",2021,54.8,82.0296551724146
15,"Kalahandi",2022,76.6,82.6703448275869
15,"Kalahandi",2023,34.1,83.3110344827594
16,"Kandhamal",1995,322.1,170.166206896551
16,"Kandhamal",1996,48.5,169.451871921181
16,"Kandhamal",1997,96.8,168.737536945812
16,"Kandhamal",1998,258.7,168.023201970443
16,"Kandhamal",1999,269.5,167.308866995073
16,"Kandhamal",2000,29.6,166.594532019704
16,"Kandhamal",2001,155.3,165.880197044334
16,"Kandhamal",2002,50,165.165862068965
16,"Kandhamal",2003,316.6,164.451527093596
16,"Kandhamal",2004,207.8,163.737192118226
16,"Kandhamal",2005,354.3,163.022857142857
16,"Kandhamal",2006,30.1,162.308522167488
16,"Kandhamal",2007,46.9,161.594187192118
16,"Kandhamal",2008,48.3,160.879852216749
16,"Kandhamal",2009,104.3,160.16551724138
16,"Kandhamal",2010,189.7,159.45118226601
16,"Kandhamal",2011,40.1,158.736847290641
16,"Kandhamal",2012,146.8,158.022512315271
16,"Kandhamal",2013,408.6,157.308177339902
16,"Kandhamal",2014,163.3,156.593842364533
16,"Kandhamal",2015,4,155.879507389163
16,"Kandhamal",2016,120.7,155.165172413794
16,"Kandhamal",2017,229.2,154.450837438425
16,"Kandhamal",2018,293.3,153.736502463055
16,"Kandhamal",2019,153.6,153.022167487686
16,"Kandhamal",2020,190.4,152.307832512316
16,"Kandhamal",2021,132.6,151.593497536947
16,"Kandhamal",2022,157.7,150.879162561578
16,"Kandhamal",2023,76,150.164827586208
17,"Kendrapara",1995,598.2,323.077241379309
17,"Kendrapara",1996,134.3,319.315566502462
17,"Kendrapara",1997,23.6,315.553891625615
17,"Kendrapara",1998,402.6,311.792216748768
17,"Kendrapara",1999,822.4,308.030541871921
17,"Kendrapara",2000,68.2,304.268866995074
17,"Kendrapara",2001,197.8,300.507192118226
17,"Kendrapara",2002,138.5,296.745517241379
17,"Kendrapara",2003,636.3,292.983842364532
17,"Kendrapara",2004,290.3,289.222167487685
17,"Kendrapara",2005,470.1,285.460492610838
17,"Kendrapara",2006,33.5,281.698817733991
17,"Kendrapara",2007,118.4,277.937142857143
17,"Kendrapara",2008,75,274.175467980296
17,"Kendrapara",2009,205.5,270.413793103449
17,"Kendrapara",2010,414.6,266.652118226602
17,"Kendrapara",2011,13.7,262.890443349755
17,"Kendrapara",2012,230.3,259.128768472908
17,"Kendrapara",2013,647,255.367093596061
17,"Kendrapara",2014,136.1,251.605418719213
17,"Kendrapara",2015,106.9,247.843743842366
17,"Kendrapara",2016,232.9,244.082068965519
17,"Kendrapara",2017,375.1,240.320394088671
17,"Kendrapara",2018,204.9,236.558719211825
17,"Kendrapara",2019,350.6,232.797044334978
17,"Kendrapara",2020,343.6,229.035369458131
17,"Kendrapara",2021,219.2,225.273694581283
17,"Kendrapara",2022,219.6,221.512019704436
17,"Kendrapara",2023,132.8,217.750344827589
18,"Keonjhar",1995,194.6,151.44275862069
18,"Keonjhar",1996,26.5,150.035024630542
18,"Keonjhar",1997,108.8,148.627290640394
18,"Keonjhar",1998,183.9,147.219556650246
18,"Keonjhar",1999,386.5,145.811822660099
18,"Keonjhar",2000,41.1,144.404088669951
18,"Keonjhar",2001,107.1,142.996354679803
18,"Keonjhar",2002,30,141.588620689655
18,"Keonjhar",2003,313.9,140.180886699507
18,"Keonjhar",2004,101.7,138.77315270936
18,"Keonjhar",2005,252.7,137.365418719212
18,"Keonjhar",2006,68.6,135.957684729064
18,"Keonjhar",2007,77.9,134.549950738916
18,"Keonjhar",2008,11.6,133.142216748769
18,"Keonjhar",2009,205.7,131.734482758621
18,"Keonjhar",2010,110.8,130.326748768473
18,"Keonjhar",2011,41.9,128.919014778325
18,"Keonjhar",2012,105.9,127.511280788177
18,"Keonjhar",2013,368.4,126.10354679803
18,"Keonjhar",2014,108.9,124.695812807882
18,"Keonjhar",2015,27.3,123.288078817734
18,"Keonjhar",2016,62.3,121.880344827587
18,"Keonjhar",2017,185.1,120.472610837439
18,"Keonjhar",2018,113.6,119.064876847291
18,"Keonjhar",2019,162.4,117.657142857143
18,"Keonjhar",2020,81.4,116.249408866996
18,"Keonjhar",2021,116,114.841674876848
18,"Keonjhar",2022,87.4,113.4339408867
18,"Keonjhar",2023,138.3,112.026206896552
19,"Khordha",1995,425.2,247.916551724137
19,"Khordha",1996,72.3,245.889014778324
19,"Khordha",1997,46.1,243.861477832511
19,"Khordha",1998,330.6,241.833940886699
19,"Khordha",1999,591.7,239.806403940886
19,"Khordha",2000,37,237.778866995073
19,"Khordha",2001,266.8,235.751330049261
19,"Khordha",2002,75.8,233.723793103448
19,"Khordha",2003,529.6,231.696256157635
19,"Khordha",2004,227.2,229.668719211822
19,"Khordha",2005,259.6,227.64118226601
19,"Khordha",2006,68,225.613645320197
19,"Khordha",2007,86.7,223.586108374384
19,"Khordha",2008,43.1,221.558571428572
19,"Khordha",2009,200.2,219.531034482759
19,"Khordha",2010,301.5,217.503497536946
19,"Khordha",2011,23.2,215.475960591134
19,"Khordha",2012,244,213.448423645321
19,"Khordha",2013,696.1,211.420886699508
19,"Khordha",2014,142.7,209.393349753695
19,"Khordha",2015,48.1,207.365812807883
19,"Khordha",2016,91.3,205.33827586207
19,"Khordha",2017,309.3,203.310738916257
19,"Khordha",2018,235,201.283201970444
19,"Khordha",2019,330.3,199.255665024632
19,"Khordha",2020,271.8,197.228128078819
19,"Khordha",2021,180.4,195.200591133006
19,"Khordha",2022,157.6,193.173054187194
19,"Khordha",2023,75.2,191.145517241381
20,"Koraput",1995,152.7,117.162068965516
20,"Koraput",1996,50.9,118.599507389162
20,"Koraput",1997,109.7,120.036945812807
20,"Koraput",1998,279.1,121.474384236452
20,"Koraput",1999,86.1,122.911822660098
20,"Koraput",2000,30.5,124.349261083743
20,"Koraput",2001,91,125.786699507389
20,"Koraput",2002,90.6,127.224137931034
20,"Koraput",2003,186.2,128.661576354679
20,"Koraput",2004,156.1,130.099014778325
20,"Koraput",2005,218.3,131.53645320197
20,"Koraput",2006,60.5,132.973891625615
